"LBDNENO.Code.or.Value","LBDNENO.Value.Description","LBDNENO.Count","LBDNENO.Cumulative","LBDNENO.Skip.to.Item"
"0.5 to 17.9","Range of Values",8925,8925,NA
".","Missing",1004,9929,NA
