"CIQP49.Code.or.Value","CIQP49.Value.Description","CIQP49.Count","CIQP49.Cumulative","CIQP49.Skip.to.Item"
"1","Past Month",11,11,NA
"2","Past 6 Months",13,24,NA
"3","Over 6 Months",9,33,NA
"7","Refused",0,33,NA
"9","Don't know",0,33,NA
".","Missing",745,778,NA
