"RFXC109.Code.or.Value","RFXC109.Value.Description","RFXC109.Count","RFXC109.Cumulative","RFXC109.Skip.to.Item"
"-7.379 to 5.37","Range of Values",33691,33691,NA
".","Missing",30,33721,NA
