"URXPPDA.Code.or.Value","URXPPDA.Value.Description","URXPPDA.Count","URXPPDA.Cumulative","URXPPDA.Skip.to.Item"
"1.41 to 282","Range of Values",2608,2608,NA
".","Missing",671,3279,NA
