"FFQ0122B.Code.or.Value","FFQ0122B.Value.Description","FFQ0122B.Count","FFQ0122B.Cumulative","FFQ0122B.Skip.to.Item"
1,"Almost never or never",4513,4513,NA
2,"About 1/4 of the time",329,4842,NA
3,"About 1/2 of the time",221,5063,NA
4,"About 3/4 of the time",110,5173,NA
5,"Almost always or always",318,5491,NA
88,"Blank",520,6011,NA
99,"Error",2,6013,NA
