"LBXSF4SI.Code.or.Value","LBXSF4SI.Value.Description","LBXSF4SI.Count","LBXSF4SI.Cumulative","LBXSF4SI.Skip.to.Item"
"0.177 to 23.1","Range of Values",8057,8057,NA
".","Missing",1108,9165,NA
