"LBXVMC.Code.or.Value","LBXVMC.Value.Description","LBXVMC.Count","LBXVMC.Cumulative","LBXVMC.Skip.to.Item"
"0.0495 to 2.3","Range of Values",1165,1165,NA
".","Missing",324,1489,NA
