"MPQ120p.Code.or.Value","MPQ120p.Value.Description","MPQ120p.Count","MPQ120p.Cumulative","MPQ120p.Skip.to.Item"
"25","Buttocks - left",158,158,NA
".","Missing",5253,5411,NA
