"LBXS16MK.Code.or.Value","LBXS16MK.Value.Description","LBXS16MK.Count","LBXS16MK.Cumulative","LBXS16MK.Skip.to.Item"
"1 to 2","Range of Values",3523,3523,NA
".","Missing",323,3846,NA
