"LBXD05LA.Code.or.Value","LBXD05LA.Value.Description","LBXD05LA.Count","LBXD05LA.Cumulative","LBXD05LA.Skip.to.Item"
"7.7 to 2470","Range of Values",1894,1894,NA
".","Missing",380,2274,NA
