"FSD032F.Code.or.Value","FSD032F.Value.Description","FSD032F.Count","FSD032F.Cumulative","FSD032F.Skip.to.Item"
"1","Often true",93,93,NA
"2","Sometimes true",380,473,NA
"3","Never true",1959,2432,NA
"7","Refused",0,2432,NA
"9","Don't know",0,2432,NA
".","Missing",7717,10149,NA
