"DSQIMAGN.Code.or.Value","DSQIMAGN.Value.Description","DSQIMAGN.Count","DSQIMAGN.Cumulative","DSQIMAGN.Skip.to.Item"
"0.2 to 3612","Range of Values",2085,2085,NA
".","Missing",7032,9117,NA
