"OSQ140q.Code.or.Value","OSQ140q.Value.Description","OSQ140q.Count","OSQ140q.Cumulative","OSQ140q.Skip.to.Item"
"1 to 66","Range of Values",272,272,NA
"777","Refused",0,272,NA
"999","Don't know",7,279,NA
".","Missing",5939,6218,NA
