"VIDORFM.Code.or.Value","VIDORFM.Value.Description","VIDORFM.Count","VIDORFM.Cumulative","VIDORFM.Skip.to.Item"
"5 to 9","Range of Values",6881,6881,NA
".","Missing",564,7445,NA
