"DS2TCHL.Code.or.Value","DS2TCHL.Value.Description","DS2TCHL.Count","DS2TCHL.Cumulative","DS2TCHL.Skip.to.Item"
"0.005 to 414","Range of Values",517,517,NA
".","Missing",8821,9338,NA
