"MCQ280.Code.or.Value","MCQ280.Value.Description","MCQ280.Count","MCQ280.Cumulative","MCQ280.Skip.to.Item"
"5 to 101","Range of Values",239,239,NA
"77777","Refused",0,239,NA
"99999","Don't know",9,248,NA
".","Missing",9245,9493,NA
