"MCQ160I.Code.or.Value","MCQ160I.Value.Description","MCQ160I.Count","MCQ160I.Cumulative","MCQ160I.Skip.to.Item"
"1","Yes",291,291,"MCQ170I"
"2","No",4576,4867,""
"7","Refused",0,4867,""
"9","Don't know",13,4880,""
".","Missing",4613,9493,""
