"RDQ137.Code.or.Value","RDQ137.Value.Description","RDQ137.Count","RDQ137.Cumulative","RDQ137.Skip.to.Item"
"0","None",476,476,NA
"1","1 to 7",159,635,NA
"2","8 to 30",36,671,NA
"3","31 plus",11,682,NA
"7","Refused",1,683,NA
"9","Don't know",1,684,NA
".","Missing",9786,10470,NA
