"URDAAMLC.Code.or.Value","URDAAMLC.Value.Description","URDAAMLC.Count","URDAAMLC.Cumulative","URDAAMLC.Skip.to.Item"
"0","At or above the detection limit",2238,2238,NA
"1","Below lower detection limit",2,2240,NA
".","Missing",109,2349,NA
