"DSQTVB1.Code.or.Value","DSQTVB1.Value.Description","DSQTVB1.Count","DSQTVB1.Cumulative","DSQTVB1.Skip.to.Item"
"0.002 to 1500","Range of Values",1919,1919,NA
".","Missing",8256,10175,NA
