"WBXP069.Code.or.Value","WBXP069.Value.Description","WBXP069.Count","WBXP069.Cumulative","WBXP069.Skip.to.Item"
"-108.13 to 130.4112","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
