"OHD08LAS.Code.or.Value","OHD08LAS.Value.Description","OHD08LAS.Count","OHD08LAS.Cumulative","OHD08LAS.Skip.to.Item"
"0 to 12","Range of Values",1517,1517,NA
"99","Calculation cannot be determined",274,1791,NA
".","Missing",4967,6758,NA
