"LBDAPBSI.Code.or.Value","LBDAPBSI.Value.Description","LBDAPBSI.Count","LBDAPBSI.Cumulative","LBDAPBSI.Skip.to.Item"
"0.22 to 2.11","Range of Values",2722,2722,NA
".","Missing",469,3191,NA
