"DR2IS180.Code.or.Value","DR2IS180.Value.Description","DR2IS180.Count","DR2IS180.Cumulative","DR2IS180.Skip.to.Item"
"0 to 28.139","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
