"DR2TZINC.Code.or.Value","DR2TZINC.Value.Description","DR2TZINC.Count","DR2TZINC.Cumulative","DR2TZINC.Skip.to.Item"
"0 to 91.26","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
