"DR1IVK.Code.or.Value","DR1IVK.Value.Description","DR1IVK.Count","DR1IVK.Cumulative","DR1IVK.Skip.to.Item"
"0 to 10150.3","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
