"AUXLR206.Code.or.Value","AUXLR206.Value.Description","AUXLR206.Count","AUXLR206.Cumulative","AUXLR206.Skip.to.Item"
"-58 to 65","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
