"OSQ090i.Code.or.Value","OSQ090i.Value.Description","OSQ090i.Count","OSQ090i.Cumulative","OSQ090i.Skip.to.Item"
"1","Yes",6,6,"OSQ120i"
"2","No",3,9,""
"7","Refused",0,9,"OSQ120i"
"9","Don't know",0,9,"OSQ120i"
".","Missing",4970,4979,""
