"DR2IVB1.Code.or.Value","DR2IVB1.Value.Description","DR2IVB1.Count","DR2IVB1.Cumulative","DR2IVB1.Skip.to.Item"
"0 to 9.209","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
