"MCQ300a.Code.or.Value","MCQ300a.Value.Description","MCQ300a.Count","MCQ300a.Cumulative","MCQ300a.Skip.to.Item"
"1","Yes",631,631,NA
"2","No",4805,5436,NA
"7","Refused",1,5437,NA
"9","Don't know",122,5559,NA
".","Missing",3805,9364,NA
