"URXUSB.Code.or.Value","URXUSB.Value.Description","URXUSB.Count","URXUSB.Cumulative","URXUSB.Skip.to.Item"
"0.02 to 3.73","Range of Values",2558,2558,NA
"-0.02","First Fill Value of Limit of Detection",0,2558,NA
"-0.05","Second Fill Value of Limit of Detection",0,2558,NA
".","Missing",115,2673,NA
