"DIQ180.Code.or.Value","DIQ180.Value.Description","DIQ180.Count","DIQ180.Cumulative","DIQ180.Skip.to.Item"
"1","Yes",2679,2679,NA
"2","No",3016,5695,NA
"7","Refused",1,5696,NA
"9","Don't know",180,5876,NA
".","Missing",3021,8897,NA
