"BIXC093K.Code.or.Value","BIXC093K.Value.Description","BIXC093K.Count","BIXC093K.Cumulative","BIXC093K.Skip.to.Item"
"33.35 to 140.43","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
