"MPQ090.Code.or.Value","MPQ090.Value.Description","MPQ090.Count","MPQ090.Cumulative","MPQ090.Skip.to.Item"
"1","Yes",963,963,NA
"2","No",3909,4872,NA
"7","Refused",1,4873,NA
"9","Don't know",5,4878,NA
".","Missing",2,4880,NA
