"CIQG35.Code.or.Value","CIQG35.Value.Description","CIQG35.Count","CIQG35.Cumulative","CIQG35.Skip.to.Item"
"0 to 20","Range of Values",12,12,NA
"77","Refused",0,12,NA
"99","Don't know",0,12,NA
".","Missing",838,850,NA
