"WBXP023.Code.or.Value","WBXP023.Value.Description","WBXP023.Count","WBXP023.Cumulative","WBXP023.Skip.to.Item"
"-30.4168 to 164.3543","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
