"LBCD03LA.Code.or.Value","LBCD03LA.Value.Description","LBCD03LA.Count","LBCD03LA.Cumulative","LBCD03LA.Skip.to.Item"
"0.04738 to 73.05","Range of Values",298,298,NA
".","Missing",3,301,NA
