"DR2IBCAR.Code.or.Value","DR2IBCAR.Value.Description","DR2IBCAR.Count","DR2IBCAR.Cumulative","DR2IBCAR.Skip.to.Item"
"0 to 61121","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
