"WBXP018.Code.or.Value","WBXP018.Value.Description","WBXP018.Count","WBXP018.Cumulative","WBXP018.Skip.to.Item"
"-17.1423 to 156.675","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
