"DXXRLBMD.Code.or.Value","DXXRLBMD.Value.Description","DXXRLBMD.Count","DXXRLBMD.Cumulative","DXXRLBMD.Skip.to.Item"
"0.533 to 2.141","Range of Values",4660,4660,NA
".","Missing",1032,5692,NA
