"DR1TS180.Code.or.Value","DR1TS180.Value.Description","DR1TS180.Count","DR1TS180.Cumulative","DR1TS180.Skip.to.Item"
"0 to 35.558","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
