"LBXTC2.Code.or.Value","LBXTC2.Value.Description","LBXTC2.Count","LBXTC2.Cumulative","LBXTC2.Skip.to.Item"
"48.44 to 971.9","Range of Values",1883,1883,NA
".","Missing",391,2274,NA
