"DR2TSELE.Code.or.Value","DR2TSELE.Value.Description","DR2TSELE.Count","DR2TSELE.Cumulative","DR2TSELE.Skip.to.Item"
"0 to 711.9","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
