"HCQ220.Code.or.Value","HCQ220.Value.Description","HCQ220.Count","HCQ220.Cumulative","HCQ220.Skip.to.Item"
"1","True",24,24,NA
"2","False",5,29,NA
"7","Refused",0,29,NA
"9","Don't know",6,35,NA
".","Missing",72,107,NA
