"LBXBR66.Code.or.Value","LBXBR66.Value.Description","LBXBR66.Count","LBXBR66.Cumulative","LBXBR66.Skip.to.Item"
"1.2 to 109.8","Range of Values",1999,1999,NA
".","Missing",338,2337,NA
