"LBXBGE.Code.or.Value","LBXBGE.Value.Description","LBXBGE.Count","LBXBGE.Cumulative","LBXBGE.Skip.to.Item"
"0.11 to 1.42","Range of Values",7841,7841,NA
".","Missing",1115,8956,NA
