"DXDRLTOT.Code.or.Value","DXDRLTOT.Value.Description","DXDRLTOT.Count","DXDRLTOT.Cumulative","DXDRLTOT.Skip.to.Item"
"2929.4 to 36954.9","Range of Values",5295,5295,NA
".","Missing",738,6033,NA
