"RFXC018.Code.or.Value","RFXC018.Value.Description","RFXC018.Count","RFXC018.Cumulative","RFXC018.Skip.to.Item"
"-6.346 to 5.306","Range of Values",33711,33711,NA
".","Missing",10,33721,NA
