"MCQ260FE.Code.or.Value","MCQ260FE.Value.Description","MCQ260FE.Count","MCQ260FE.Cumulative","MCQ260FE.Skip.to.Item"
"5","Father's mother",79,79,"MCQ250G"
".","Missing",9566,9645,""
