"FSD032A.Code.or.Value","FSD032A.Value.Description","FSD032A.Count","FSD032A.Cumulative","FSD032A.Skip.to.Item"
"1","Often true",1123,1123,NA
"2","Sometimes true",2070,3193,NA
"3","Never true",6503,9696,NA
"7","Refused",11,9707,NA
"9","Don't know",8,9715,NA
".","Missing",41,9756,NA
