"FFQ0097F.Code.or.Value","FFQ0097F.Value.Description","FFQ0097F.Count","FFQ0097F.Cumulative","FFQ0097F.Skip.to.Item"
1,"Almost never or never",1560,1560,NA
2,"About 1/4 of the time",1481,3041,NA
3,"About 1/2 of the time",1244,4285,NA
4,"About 3/4 of the time",573,4858,NA
5,"Almost always or always",973,5831,NA
88,"Blank",638,6469,NA
99,"Error",3,6472,NA
