"LB2EONO.Code.or.Value","LB2EONO.Value.Description","LB2EONO.Count","LB2EONO.Cumulative","LB2EONO.Skip.to.Item"
"0 to 2.1","Range of Values",551,551,NA
".","Missing",6,557,NA
