"CBD070.Code.or.Value","CBD070.Value.Description","CBD070.Count","CBD070.Cumulative","CBD070.Skip.to.Item"
"0 to 171728","Range of Values",10231,10231,NA
"777777","Refused",22,10253,NA
"999999","Don't know",174,10427,NA
".","Missing",110,10537,NA
