"TYXP120.Code.or.Value","TYXP120.Value.Description","TYXP120.Count","TYXP120.Cumulative","TYXP120.Skip.to.Item"
"-299 to 45","Range of Values",8385,8385,NA
".","Missing",84,8469,NA
