"LBXV2P.Code.or.Value","LBXV2P.Value.Description","LBXV2P.Count","LBXV2P.Cumulative","LBXV2P.Skip.to.Item"
"0.0707 to 0.0707","Range of Values",2837,2837,NA
".","Missing",578,3415,NA
