"WTMEC2YR.Code.or.Value","WTMEC2YR.Value.Description","WTMEC2YR.Count","WTMEC2YR.Cumulative","WTMEC2YR.Skip.to.Item"
"0 to 156152.18069","Range of Values",10348,10348,NA
".","Missing",0,10348,NA
