"LBXGHCLA.Code.or.Value","LBXGHCLA.Value.Description","LBXGHCLA.Count","LBXGHCLA.Cumulative","LBXGHCLA.Skip.to.Item"
"0.4 to 73.3","Range of Values",2280,2280,NA
".","Missing",267,2547,NA
