"LBCOXYLA.Code.or.Value","LBCOXYLA.Value.Description","LBCOXYLA.Count","LBCOXYLA.Cumulative","LBCOXYLA.Skip.to.Item"
"0.6647 to 57.84","Range of Values",251,251,NA
".","Missing",0,251,NA
