"RFXT154.Code.or.Value","RFXT154.Value.Description","RFXT154.Count","RFXT154.Cumulative","RFXT154.Skip.to.Item"
"1344 to 1353","Range of Values",51052,51052,NA
".","Missing",24,51076,NA
