"DR2TWS.Code.or.Value","DR2TWS.Value.Description","DR2TWS.Count","DR2TWS.Cumulative","DR2TWS.Skip.to.Item"
"1","Community supply",4935,4935,NA
"2","Well or rain cistern",595,5530,NA
"3","Spring",79,5609,NA
"4","Don't drink tap water",1639,7248,NA
"91","Other",0,7248,NA
"99","Don't know",413,7661,NA
".","Missing",1677,9338,NA
