"KIQ044.Code.or.Value","KIQ044.Value.Description","KIQ044.Count","KIQ044.Cumulative","KIQ044.Skip.to.Item"
"1","Yes",1225,1225,""
"2","No",4081,5306,"KIQ046"
"7","Refused",0,5306,"KIQ046"
"9","Don't know",10,5316,"KIQ046"
".","Missing",902,6218,""
