"DIQ190B.Code.or.Value","DIQ190B.Value.Description","DIQ190B.Count","DIQ190B.Cumulative","DIQ190B.Skip.to.Item"
"1","Yes",1832,1832,NA
"2","No",5431,7263,NA
"7","Refused",0,7263,NA
"9","Don't know",4,7267,NA
".","Missing",2555,9822,NA
