"URDGAMLC.Code.or.Value","URDGAMLC.Value.Description","URDGAMLC.Count","URDGAMLC.Cumulative","URDGAMLC.Skip.to.Item"
"0","At or above the detection limit",1145,1145,NA
"1","Below lower detection limit",1095,2240,NA
".","Missing",109,2349,NA
