"HSQ571.Code.or.Value","HSQ571.Value.Description","HSQ571.Count","HSQ571.Cumulative","HSQ571.Skip.to.Item"
"1","Yes",239,239,""
"2","No",5146,5385,"HSQ590"
"7","Refused",0,5385,"HSQ590"
"9","Don't know",3,5388,"HSQ590"
".","Missing",4052,9440,""
